transactionID,deviceID
T_CK36H0W0,D0001
T_U1HBJ6TX,D0057
T_0KQSOSX4,D0010
T_FFUU5F07,D0004
T_IYS2N75B,D0033
T_J0UUNNV6,D0058
T_O3M25A5P,D0017
T_GNZEI3ZR,D0010
T_OIEVES6F,D0025
T_W5038HVQ,D0038
T_U1WSGY7V,D0008
T_H4SPFDRW,D0048
T_REV361XS,D0033
T_7R1M264U,D0049
T_4K5OGZ2U,D0041
T_2ODPVJTU,D0026
T_UGUR9U1O,D0014
T_ZFHOMTZZ,D0052
T_7PCHCBN9,D0045
T_83XPHX2K,D0033
T_WYMX9DJO,D0012
T_0CDK36M8,D0029
T_UJODCK82,D0016
T_8U118QQV,D0004
T_2HZ2OMTZ,D0025
T_3C7RM6J8,D0047
T_05HHIWFD,D0000
T_TBRWR965,D0025
T_UB2RTSOY,D0033
T_YAHULWJT,D0021
T_RHZN4KGE,D0046
T_IPNF8F3G,D0046
T_RJ4BDFHJ,D0047
T_MU7JAE58,D0041
T_9KLS1QCW,D0040
T_MWU4CFIL,D0041
T_5270SQG4,D0016
T_0HOD7RB1,D0016
T_D7OI0PES,D0022
T_LR9TJQ8Z,D0040
T_5PXT6RID,D0009
T_A34MQA78,D0051
T_IANOUOF0,D0016
T_WS2WYJXT,D0011
T_DQQZRLF8,D0017
T_PADAHP2R,D0005
T_8C1CQG43,D0015
T_9I9H0DXH,D0010
T_B7SJWH55,D0040
T_A2VOI8UY,D0049
T_FDW79WCX,D0031
T_9212PGYM,D0045
T_KZGGM0J3,D0004
T_Q3TQ1S05,D0015
T_C83GY1FK,D0006
T_C4E5HRDU,D0039
T_JNVC7HR6,D0035
T_ONZ3JBCK,D0006
T_TGSIWG0O,D0043
T_X5GGOMF9,D0035
T_N1P0VUH1,D0028
T_ABKAE6A9,D0049
T_37SUUDQF,D0014
T_KUUHCLRR,D0038
T_B3N27M5P,D0047
T_VA1NKBTF,D0003
T_981UDP2F,D0047
T_ODS1EEUR,D0039
T_IC1L7DYP,D0038
T_1GM32WP7,D0048
T_D0IWF3KM,D0030
T_HTHSJR0F,D0037
T_SJCHZJQ8,D0054
T_MDK5N9SZ,D0034
T_H8UZB7KR,D0043
T_K99JCJN9,D0014
T_6XDN8WWI,D0019
T_LTHET25L,D0027
T_F77LU8EL,D0056
T_P767J2DG,D0017
T_WVIAC2E4,D0054
T_RFIO878I,D0004
T_8PWY55P1,D0020
T_7UTXZBDQ,D0034
T_BN18GP51,D0018
T_BSF3Q0E2,D0025
T_QGVZHQJY,D0046
T_EQNSN2S8,D0049
T_M55FF1BL,D0040
T_68A1ARR3,D0013
T_ROCVITWU,D0009
T_MFBUVLDD,D0018
T_YV2GQU7D,D0052
T_PTKEZJSS,D0006
T_9TD0V2ZP,D0036
T_7WR0R35I,D0007
T_WE429OMU,D0012
T_JCKT1ELO,D0012
T_MY62XRW6,D0050
T_7CSUYTAU,D0009
T_B9W4UOV5,D0002
T_D5N3KSGN,D0028
T_26FMR5LL,D0043
T_0QZSA7YV,D0006
T_XLUL6LGJ,D0007
T_FE8UDTTJ,D0015
T_L6TBB6BN,D0045
T_V4ZWL3ZY,D0008
T_2ZDLX1Q8,D0058
T_G7L4LRCE,D0049
T_USOZDUCK,D0015
T_T9NM3V2P,D0015
T_Y0Z4EVLD,D0004
T_YV3LXCHF,D0042
T_TOUHYLU6,D0058
T_UWS44C68,D0007
T_5IZOLNNT,D0012
T_4MPK5EAX,D0027
T_E346Z7WQ,D0022
T_PAR0ZJ7U,D0030
T_ERYF0992,D0056
T_IWXYYTUW,D0030
T_6ULM9KGZ,D0050
T_CRGB93WK,D0054
T_JWJJ0V60,D0016
T_IGSB98V3,D0015
T_0GU4BJ3B,D0030
T_7IYOJTPK,D0020
T_8DTM4VXJ,D0041
T_QYIY1SY9,D0000
T_ADDQHKGA,D0057
T_8WZE4EX6,D0044
T_KXCQ91YY,D0049
T_1NLC8JPR,D0011
T_DTPWDPJB,D0001
T_FX7XJZ6U,D0027
T_03CINY2E,D0043
T_B9XN4M41,D0035
T_XKODYR5P,D0001
T_IN2XR838,D0021
T_BE3YQY5F,D0047
T_XQ7BZEGB,D0039
T_V3DR2H2P,D0007
T_TL8HBGCJ,D0023
T_P7BD4W1A,D0011
T_ZVKY2REF,D0015
T_YVZWD3KP,D0033
T_N1TH1XJG,D0011
T_7BNHJW6Q,D0011
T_BSCIQUP0,D0020
T_IOH6CVBP,D0011
T_EZW9HEYC,D0026
T_M5V2WWG8,D0054
T_5HRQAP5I,D0009
T_6PB90SPO,D0031
T_UA08EKXD,D0045
T_UV9QEZG5,D0004
T_YTK1ZWUH,D0047
T_S6NBNQBN,D0045
T_EMTX015Z,D0022
T_SPBNQS3Q,D0028
T_2837C6QC,D0006
T_EFFH8AOY,D0026
T_XKC5I8XO,D0037
T_TTQU6L2I,D0009
T_QF7ZK94Y,D0015
T_9UPNHZX9,D0010
T_EA7187F8,D0041
T_RK79UFU6,D0030
T_FTLO4QDB,D0014
T_1HD4Y89O,D0032
T_YOZPNAML,D0013
T_P92K38P6,D0005
T_K9SM7VNA,D0011
T_Z1EGNTB3,D0035
T_I2FKXWEX,D0058
T_IEJ9C0UU,D0052
T_SU4FCL5E,D0026
T_8BKXCGW1,D0020
T_3YKYYDU3,D0023
T_O7FHS32U,D0045
T_1EQC37RL,D0033
T_GK0EEYYL,D0044
T_EARPHBXV,D0004
T_ADEVVHYB,D0022
T_42WSC31T,D0057
T_A0774RZG,D0053
T_PSO1LQSR,D0046
T_LEKVL9PT,D0054
T_4RYG9RDP,D0009
T_Z906GNHH,D0014
T_0KZUJ2XO,D0031
T_FQERI7B0,D0001
T_VLKW1XSR,D0031
T_JM4T8BP6,D0028
T_BU4KZREZ,D0043
T_TTQUFCJV,D0020
T_VEN3V1WN,D0022
T_IILDY5EG,D0042
T_U6JZV9NO,D0044
T_MS1MWNPR,D0013
T_B9OI0D4D,D0051
T_PMC3SKXL,D0032
T_1GAZ5UH8,D0059
T_34670CHQ,D0026
T_3CHO3XJV,D0012
T_2LR9P6HJ,D0035
T_48RA4DV5,D0042
T_D70FE07S,D0031
T_IE3LVO0I,D0011
T_PJVRN8LP,D0023
T_NLX6B02B,D0035
T_XZ6YTIPA,D0005
T_1K4FPL3X,D0052
T_QO4Z533Z,D0038
T_TLZ1XGPX,D0019
T_CFS8314Y,D0030
T_EGVLKDNO,D0001
T_UWIDQJ4B,D0009
T_GUAS173R,D0055
T_J0NPHH30,D0050
T_KJW6NYQA,D0025
T_ZZ0JDCLI,D0051
T_0BJWKON8,D0016
T_RMQDZPJL,D0047
T_P6J37SPF,D0035
T_X2BFIBJZ,D0028
T_UQEZFMHK,D0036
T_VV8SUOC1,D0018
T_OV84FC3X,D0042
T_8X8L008U,D0018
T_BC8NOG85,D0024
T_K1XERP3L,D0042
T_NHQNJVDP,D0040
T_BMQIYFRW,D0027
T_2K9YKIPU,D0006
T_OQZ3MV1A,D0050
T_OC5KVQYW,D0011
T_9JYPAOAX,D0047
T_RW9MYYOK,D0007
T_ZGARFI44,D0049
T_RAFFZ8Q4,D0036
T_BAWZ940V,D0031
T_S0765ICA,D0017
T_PRR7MZAK,D0014
T_VY74ZQ50,D0041
T_224WK0YE,D0006
T_7RIU9MJY,D0051
T_PWEIJMMB,D0054
T_SYZ7PQ4D,D0050
T_3BDW56FK,D0046
T_FN3EH81A,D0018
T_DN1MXF1P,D0058
T_Q42NBFA3,D0020
T_FC1XX6CW,D0026
T_YTK06AKT,D0041
T_T2XZ52OH,D0021
T_Z5STHSLM,D0056
T_VI109DCN,D0003
T_7QUAMI0U,D0014
T_K2ZYZSIL,D0006
T_PODPEHCY,D0049
T_JRPP7R93,D0045
T_8STZQBFU,D0054
T_EUBFN9KR,D0026
T_66H3REM5,D0036
T_MN44EEW1,D0020
T_WWN6MBYP,D0045
T_W1LXXD8T,D0012
T_SAXT8JH3,D0005
T_VOB5APO4,D0007
T_GFJDLOGW,D0003
T_DF6J76BI,D0032
T_NECQOROI,D0037
T_IT2KODWH,D0010
T_TP6QAQ3K,D0059
T_JJY94H4K,D0004
T_OEFUKPV8,D0016
T_QI9MQVAY,D0030
T_AGUZROC5,D0057
T_YYM33MG1,D0029
T_GA01YZG3,D0031
T_K6ZHH3O5,D0035
T_0YVGV0E7,D0050
T_4A8YWY5A,D0027
T_JYQN15IK,D0000
T_M539IY87,D0004
T_BPA274IR,D0033
T_71W1WUDC,D0004
T_C2BVPDCB,D0039
T_IVXAN25W,D0033
T_GDVC2GUW,D0046
T_GEBEVSXM,D0009
T_VK8SXFI3,D0022
T_62MYZ9VL,D0019
T_FQ2BHAII,D0047
T_L0HG9NCB,D0012
T_6M9HKHJG,D0012
T_46AYN2D7,D0051
T_GS2WPZE5,D0034
T_NV9IBWGT,D0003
T_KESVR022,D0024
T_XSRQLNZZ,D0025
T_2XH6QIHP,D0016
T_EDQMVQWP,D0051
T_JAPJC6KS,D0059
T_EMTMYJ01,D0038
T_106AK32O,D0000
T_S1FOI0RS,D0052
T_2LG1ZHQU,D0019
T_RXMIP11Y,D0036
T_7F8LWVV5,D0004
T_GDUQ6DDT,D0001
T_C8KIXCCS,D0010
T_TRC85EHP,D0038
T_VSYJAFCO,D0058
T_RQBDX7M4,D0052
T_GI60Q6GU,D0056
T_JWK6Z0HR,D0023
T_D1LQJSQC,D0021
T_4OAE7L0R,D0015
T_F34GADKT,D0048
T_JPGZ6TPB,D0042
T_6OLBA117,D0005
T_BA3YC8D4,D0026
T_3LWW7OPI,D0000
T_LOQC3XNC,D0031
T_T94G8V9Z,D0011
T_5L4RMVVN,D0037
T_IW6L01WC,D0009
T_XI09P5EL,D0050
T_31I0MHB7,D0055
T_LPA5CGWF,D0037
T_2HSPQFHP,D0036
T_H5R8MNQP,D0052
T_AN417VF0,D0029
T_URLZH6A5,D0025
T_78NRXVOB,D0010
T_PJ60SRYZ,D0015
T_B3WYZXJQ,D0038
T_4A1X7OV6,D0010
T_JK8XNLO5,D0040
T_23JH0ZAG,D0049
T_SX0GNZHG,D0052
T_H03G95P6,D0018
T_ECBIR1AJ,D0006
T_2NS8JR1V,D0052
T_XNCMLDQZ,D0038
T_T81IQY5S,D0052
T_W580YIR0,D0059
T_9460KHFS,D0008
T_D399Q68R,D0010
T_ZD9B7LNK,D0007
T_7WR2LIU7,D0058
T_0NXU43IE,D0047
T_G7UELN0L,D0027
T_NY2SVHOT,D0053
T_YFK043BL,D0054
T_R3RZN9L3,D0047
T_5GRO9X49,D0043
T_1OTKZH4O,D0054
T_KXUPR6H2,D0046
T_D24N9YGC,D0003
T_XV8WOBIR,D0047
T_Y2X15XJX,D0005
T_X6IV9RYD,D0041
T_KELZ5TOZ,D0031
T_4T3X1HXE,D0035
T_LBUXDJ1D,D0034
T_9XIB86KT,D0020
T_9MTHD3IG,D0038
T_VJ0PTJXF,D0027
T_TC09ZGNX,D0026
T_L2N8IJTY,D0005
T_MJ5IAN8N,D0033
T_L3RTZ5TV,D0048
T_M08TV4RE,D0009
T_FUJ7XN1Y,D0028
T_QK8SZ7IW,D0049
T_DC08FC0T,D0043
T_0RS95ZOW,D0027
T_0I0835TV,D0059
T_SIC4S8PN,D0058
T_344KRJAW,D0032
T_BQWRMWLM,D0022
T_PHT6O6A1,D0023
T_PG3DP4FM,D0012
T_KEPLBX88,D0031
T_2ZL15S74,D0050
T_FS1IYM90,D0031
T_PW0GKEJZ,D0030
T_3ZSG9VWI,D0012
T_PWDBOLWI,D0032
T_BDN7ZI6G,D0018
T_6DG8NKDA,D0023
T_N2TNXHN5,D0002
T_53GQD7WK,D0046
T_EPZ614UM,D0004
T_S82GJ8K8,D0052
T_Y58F1N2O,D0010
T_VA7SSZJ4,D0007
T_BIBF57J2,D0034
T_XW8L85JE,D0003
T_AM0KJAX5,D0046
T_NX5WT3HJ,D0028
T_0N6DGG5G,D0018
T_FGOVCCI6,D0033
T_1ADNDA37,D0009
T_A88D0MZH,D0052
T_LFCYWE3D,D0009
T_IINMK7YY,D0010
T_D8MWE776,D0033
T_GP6YWK5J,D0051
T_22592FFQ,D0007
T_8KD9GNLP,D0050
T_E77NTTRT,D0045
T_UY0ZIA9A,D0003
T_M42FQ4T7,D0003
T_EZF0ZPBD,D0055
T_FFIA3O1Q,D0019
T_0PXAECXV,D0025
T_Y5T37SZP,D0024
T_HWHG0U43,D0041
T_NBNPJDN2,D0010
T_CV1LTWBJ,D0036
T_BL7AMKOH,D0044
T_L6SS1A2R,D0010
T_Q5DZ53X1,D0046
T_S1QEKW7B,D0013
T_CFWR2F5T,D0006
T_GKCUMCZQ,D0041
T_78RNKOWY,D0020
T_YSJ5YWX0,D0009
T_KFOCNQDQ,D0005
T_D8OPOCMV,D0017
T_T8FHU91C,D0013
T_58YJWDCO,D0033
T_6GB6P8KH,D0034
T_FZMYOA2V,D0009
T_9700LFQF,D0026
T_0974WXUB,D0044
T_FNM88UA3,D0052
T_ZXQOMTS1,D0027
T_TFPKXYWZ,D0051
T_DA7D0WTW,D0018
T_H1TE48M2,D0023
T_SJXL66YA,D0001
T_N33VM89I,D0041
T_B7P7O0OL,D0045
T_SW24WJT8,D0027
T_1FWT9UA0,D0015
T_HG403NJB,D0001
T_5D7EFJGC,D0006
T_AC8CYNL6,D0000
T_XW4EMM9V,D0016
T_GBASF5EH,D0046
T_JR8MTK0R,D0016
T_Y5KOV1L2,D0056
T_VJLDNHM6,D0056
T_JOV58TOE,D0022
T_HNFLAYZH,D0035
T_KHHUZ83Y,D0048
T_3HBRBJEQ,D0015
T_KX496K4O,D0021
T_CD20J1OU,D0025
T_9RX647DI,D0020
T_0ID033TA,D0056
T_D8CLW3JG,D0008
T_FV46WYSI,D0020
T_RD1ZM4IX,D0031
T_AH3GDHVS,D0029
T_4DE7NQWH,D0027
T_L5XF50I6,D0042
T_METMHOPM,D0003
T_0PKOVTRP,D0014
T_6UITJ5ZO,D0052
T_JH2MKV0D,D0047
T_6ILCG6FA,D0011
T_CY4V8URI,D0043
T_IS11D2MR,D0042
T_NAMZ6146,D0043
T_XFOH9MBU,D0013
T_G8W85Y6Q,D0016
T_MLV8JGUZ,D0050
T_82K8RYQF,D0042
T_RCKQH3ER,D0053
T_JMK4X1FD,D0037
T_KB7IYNO6,D0019
T_P52F1JOH,D0059
T_TN5PEPL7,D0027
T_8Q6A1DF6,D0023
T_TUK1OOA3,D0005
T_3XMDKRLC,D0045
T_HF0RIY4K,D0039
T_EAVEDHR3,D0019
T_934T3Y4W,D0009
T_XG0TRKY8,D0024
T_DPPBQUAK,D0002
T_8Q0J9M4S,D0032
T_XMZMZ2K1,D0058
T_R8VGZSXJ,D0022
T_3CB0IXRY,D0050
T_6G61PCWE,D0048
T_WBGDQEWU,D0043
T_HF33GUWY,D0023
T_U5MY80TG,D0022
T_642PW5UE,D0031
T_VLI77JZC,D0034
T_47SOCZDQ,D0001
T_PH5CH3L1,D0031
T_86Z1B98V,D0030
T_0DRIMR25,D0049
T_HVNYARNN,D0008
T_EW6MM7ID,D0048
T_2U9AZ3CE,D0022
T_69EOXXC7,D0028
T_72KXSJZS,D0039
T_C64SKTE0,D0044
T_18A4JVK8,D0031
T_NPINXTXB,D0048
T_763V1M3P,D0035
T_7K9TPZ1J,D0059
T_6KYJ91KU,D0017
T_23VEULJG,D0029
T_R4HC7JVL,D0049
T_JRIG5XIX,D0037
T_TI899A44,D0015
T_CPSILN3O,D0001
T_2MOXQ9WF,D0001
T_HLZ02Z7N,D0048
T_889U9W0T,D0038
T_SPJ4KII1,D0047
T_I05NMS6X,D0014
T_3ET1OVEJ,D0005
T_SFR5HGQG,D0059
T_D54AGCST,D0008
T_UZE66VW9,D0058
T_Q4KREG16,D0057
T_VYQLG0K1,D0003
T_6U4PLLGF,D0033
T_5LMFKRIG,D0048
T_IKDTSGVB,D0000
T_3NK8PQEQ,D0056
T_J590EMC2,D0032
T_Q0YCY6BD,D0012
T_X5BWAEN7,D0009
T_GREWDS0H,D0039
T_GPJNVWRX,D0056
T_R2OMRDE5,D0028
T_XEQLEZZ1,D0026
T_BJH4OULY,D0025
T_BRHWBQH5,D0039
T_VA02DZ61,D0013
T_HFT4I26L,D0002
T_1SS2BKAW,D0047
T_2XE0JDCZ,D0000
T_T7DVO342,D0017
T_D8UNPIOK,D0015
T_9081ZQUA,D0030
T_XL39DG5R,D0039
T_S41CRO04,D0026
T_JHURR8IQ,D0046
T_DZN1F0FP,D0031
T_2R0TOKPK,D0020
T_NXFSHWZS,D0059
T_097FZRLG,D0044
T_YTLCQFMU,D0017
T_6P0N17UX,D0006
T_KJD2V1L1,D0055
T_6HAIH7WF,D0004
T_E3PQK1IO,D0019
T_LCVHFWJF,D0044
T_YUPMANQY,D0035
T_7NG0APSA,D0058
T_7VBJRBZJ,D0055
T_QVQG0XTD,D0009
T_G4C4EPZL,D0041
T_A44LZ6V7,D0053
T_C3S0DPJH,D0047
T_LUEQ4D7D,D0005
T_V812HNC0,D0048
T_LNKKUO4J,D0044
T_DMN1S3YG,D0009
T_HZM32HZS,D0032
T_JQBEXGFV,D0037
T_LDM6FRM6,D0010
T_GA3QUPO4,D0021
T_OB7I77DP,D0037
T_S7587H91,D0005
T_12QFAF5K,D0027
T_IY4NRMQY,D0024
T_Z1DE1E16,D0025
T_MY8A5GIN,D0038
T_6XEGHPMX,D0024
T_RJ8GOSD3,D0055
T_3FESYAXY,D0027
T_WV2QNRMT,D0034
T_5CA8ZJSW,D0029
T_ERN6YJMK,D0011
T_PQKBE0TO,D0008
T_WPJ8YI34,D0029
T_LBV03DS0,D0025
T_8JX54PEG,D0032
T_2YBUH7JY,D0002
T_6YJOAOEJ,D0014
T_ZHW0VQPV,D0000
T_MPQ0HZYJ,D0040
T_9C0TK1QQ,D0039
T_P9A9URI7,D0006
T_HDK5199T,D0057
T_LND581LT,D0048
T_3Q7GKTMQ,D0037
T_9OWWEW9V,D0039
T_UQDN05XT,D0023
T_IQZHECBU,D0015
T_9SEVL7FQ,D0002
T_OSQN285T,D0034
T_P3C330BO,D0050
T_FJ31EGOM,D0016
T_XC6RIJKQ,D0017
T_1FKHNNK8,D0045
T_K0ZFKNWB,D0037
T_NS5SR69X,D0033
T_5RGSG6A8,D0014
T_V0EHRUWA,D0047
T_XODLCTT0,D0036
T_I2G74IZG,D0017
T_G3C6SCIV,D0034
T_B2CRPRDV,D0000
T_5E51H3WQ,D0017
T_GSS8K5IJ,D0028
T_8RL9QFCP,D0040
T_3GDILK1Q,D0036
T_LGOGFXLS,D0049
T_IJ74NL03,D0036
T_P1O8M291,D0042
T_KNL2LUHH,D0004
T_LRZQ8BXY,D0017
T_NDXJN7DE,D0026
T_5VUUPLTX,D0001
T_15Z08N10,D0014
T_LYZJ0AEO,D0053
T_6SAPBS22,D0040
T_CDUEFS4U,D0049
T_3Q69FLGU,D0025
T_A3AIPJIY,D0042
T_376ZUGFL,D0054
T_EMC57XHF,D0049
T_E6P4NP00,D0025
T_1VE8SUSF,D0038
T_9OHDSRS8,D0025
T_M84P4K9D,D0001
T_XLFIUEFZ,D0051
T_0KW3PGSF,D0056
T_2BHON4WB,D0002
T_FOT10GDM,D0007
T_94TEVWLQ,D0042
T_8YDR3UES,D0042
T_DO5DIGXL,D0033
T_J6LNF040,D0011
T_W4IOAR4G,D0028
T_WTEK17M6,D0029
T_YMSCNX8E,D0007
T_K5LP9C5S,D0009
T_HA0MVF4S,D0014
T_GFYW4I7Z,D0054
T_B8OOSPRL,D0004
T_UL7W8COF,D0050
T_PVIMI8FO,D0009
T_FJLWSS1V,D0052
T_0QC96MJ9,D0040
T_V5Y21ID9,D0015
T_X48PW5K0,D0032
